StoreName,StoreCode,Amount,Hour,Day,Date
Alpha Mart,A001,169,9,Monday,2026-01-19
Alpha Mart,A001,94,10,Monday,2026-01-19
Alpha Mart,A001,123,11,Monday,2026-01-19
Alpha Mart,A001,182,12,Monday,2026-01-19
Alpha Mart,A001,95,13,Monday,2026-01-19
Alpha Mart,A001,153,14,Monday,2026-01-19
Alpha Mart,A001,173,15,Monday,2026-01-19
Alpha Mart,A001,170,16,Monday,2026-01-19
Alpha Mart,A001,193,17,Monday,2026-01-19
Alpha Mart,A001,246,18,Monday,2026-01-19
Alpha Mart,A001,232,19,Monday,2026-01-19
Alpha Mart,A001,183,20,Monday,2026-01-19
Alpha Mart,A001,174,21,Monday,2026-01-19
Alpha Mart,A001,124,9,Tuesday,2026-01-20
Alpha Mart,A001,157,10,Tuesday,2026-01-20
Alpha Mart,A001,178,11,Tuesday,2026-01-20
Alpha Mart,A001,160,12,Tuesday,2026-01-20
Alpha Mart,A001,131,13,Tuesday,2026-01-20
Alpha Mart,A001,209,14,Tuesday,2026-01-20
Alpha Mart,A001,173,15,Tuesday,2026-01-20
Alpha Mart,A001,91,16,Tuesday,2026-01-20
Alpha Mart,A001,223,17,Tuesday,2026-01-20
Alpha Mart,A001,209,18,Tuesday,2026-01-20
Alpha Mart,A001,106,19,Tuesday,2026-01-20
Alpha Mart,A001,220,20,Tuesday,2026-01-20
Alpha Mart,A001,100,21,Tuesday,2026-01-20
Alpha Mart,A001,128,9,Wednesday,2026-01-21
Alpha Mart,A001,138,10,Wednesday,2026-01-21
Alpha Mart,A001,189,11,Wednesday,2026-01-21
Alpha Mart,A001,114,12,Wednesday,2026-01-21
Alpha Mart,A001,178,13,Wednesday,2026-01-21
Alpha Mart,A001,190,14,Wednesday,2026-01-21
Alpha Mart,A001,125,15,Wednesday,2026-01-21
Alpha Mart,A001,100,16,Wednesday,2026-01-21
Alpha Mart,A001,134,17,Wednesday,2026-01-21
Alpha Mart,A001,132,18,Wednesday,2026-01-21
Alpha Mart,A001,175,19,Wednesday,2026-01-21
Alpha Mart,A001,135,20,Wednesday,2026-01-21
Alpha Mart,A001,141,21,Wednesday,2026-01-21
Alpha Mart,A001,169,9,Thursday,2026-01-22
Alpha Mart,A001,110,10,Thursday,2026-01-22
Alpha Mart,A001,119,11,Thursday,2026-01-22
Alpha Mart,A001,169,12,Thursday,2026-01-22
Alpha Mart,A001,80,13,Thursday,2026-01-22
Alpha Mart,A001,103,14,Thursday,2026-01-22
Alpha Mart,A001,104,15,Thursday,2026-01-22
Alpha Mart,A001,145,16,Thursday,2026-01-22
Alpha Mart,A001,149,17,Thursday,2026-01-22
Alpha Mart,A001,147,18,Thursday,2026-01-22
Alpha Mart,A001,195,19,Thursday,2026-01-22
Alpha Mart,A001,196,20,Thursday,2026-01-22
Alpha Mart,A001,119,21,Thursday,2026-01-22
Alpha Mart,A001,122,9,Friday,2026-01-23
Alpha Mart,A001,144,10,Friday,2026-01-23
Alpha Mart,A001,94,11,Friday,2026-01-23
Alpha Mart,A001,128,12,Friday,2026-01-23
Alpha Mart,A001,140,13,Friday,2026-01-23
Alpha Mart,A001,105,14,Friday,2026-01-23
Alpha Mart,A001,118,15,Friday,2026-01-23
Alpha Mart,A001,90,16,Friday,2026-01-23
Alpha Mart,A001,184,17,Friday,2026-01-23
Alpha Mart,A001,251,18,Friday,2026-01-23
Alpha Mart,A001,117,19,Friday,2026-01-23
Alpha Mart,A001,130,20,Friday,2026-01-23
Alpha Mart,A001,153,21,Friday,2026-01-23
Alpha Mart,A001,216,9,Saturday,2026-01-24
Alpha Mart,A001,174,10,Saturday,2026-01-24
Alpha Mart,A001,148,11,Saturday,2026-01-24
Alpha Mart,A001,191,12,Saturday,2026-01-24
Alpha Mart,A001,246,13,Saturday,2026-01-24
Alpha Mart,A001,139,14,Saturday,2026-01-24
Alpha Mart,A001,139,15,Saturday,2026-01-24
Alpha Mart,A001,264,16,Saturday,2026-01-24
Alpha Mart,A001,157,17,Saturday,2026-01-24
Alpha Mart,A001,214,18,Saturday,2026-01-24
Alpha Mart,A001,207,19,Saturday,2026-01-24
Alpha Mart,A001,114,20,Saturday,2026-01-24
Alpha Mart,A001,132,21,Saturday,2026-01-24
Alpha Mart,A001,200,9,Sunday,2026-01-25
Alpha Mart,A001,214,10,Sunday,2026-01-25
Alpha Mart,A001,206,11,Sunday,2026-01-25
Alpha Mart,A001,176,12,Sunday,2026-01-25
Alpha Mart,A001,190,13,Sunday,2026-01-25
Alpha Mart,A001,266,14,Sunday,2026-01-25
Alpha Mart,A001,187,15,Sunday,2026-01-25
Alpha Mart,A001,193,16,Sunday,2026-01-25
Alpha Mart,A001,196,17,Sunday,2026-01-25
Alpha Mart,A001,138,18,Sunday,2026-01-25
Alpha Mart,A001,242,19,Sunday,2026-01-25
Alpha Mart,A001,173,20,Sunday,2026-01-25
Alpha Mart,A001,156,21,Sunday,2026-01-25
Beta Store,B002,161,9,Monday,2026-01-19
Beta Store,B002,188,10,Monday,2026-01-19
Beta Store,B002,155,11,Monday,2026-01-19
Beta Store,B002,156,12,Monday,2026-01-19
Beta Store,B002,96,13,Monday,2026-01-19
Beta Store,B002,95,14,Monday,2026-01-19
Beta Store,B002,203,15,Monday,2026-01-19
Beta Store,B002,127,16,Monday,2026-01-19
Beta Store,B002,193,17,Monday,2026-01-19
Beta Store,B002,219,18,Monday,2026-01-19
Beta Store,B002,146,19,Monday,2026-01-19
Beta Store,B002,208,20,Monday,2026-01-19
Beta Store,B002,151,21,Monday,2026-01-19
Beta Store,B002,141,9,Tuesday,2026-01-20
Beta Store,B002,105,10,Tuesday,2026-01-20
Beta Store,B002,92,11,Tuesday,2026-01-20
Beta Store,B002,83,12,Tuesday,2026-01-20
Beta Store,B002,189,13,Tuesday,2026-01-20
Beta Store,B002,131,14,Tuesday,2026-01-20
Beta Store,B002,213,15,Tuesday,2026-01-20
Beta Store,B002,183,16,Tuesday,2026-01-20
Beta Store,B002,180,17,Tuesday,2026-01-20
Beta Store,B002,171,18,Tuesday,2026-01-20
Beta Store,B002,176,19,Tuesday,2026-01-20
Beta Store,B002,110,20,Tuesday,2026-01-20
Beta Store,B002,201,21,Tuesday,2026-01-20
Beta Store,B002,186,9,Wednesday,2026-01-21
Beta Store,B002,144,10,Wednesday,2026-01-21
Beta Store,B002,181,11,Wednesday,2026-01-21
Beta Store,B002,137,12,Wednesday,2026-01-21
Beta Store,B002,171,13,Wednesday,2026-01-21
Beta Store,B002,167,14,Wednesday,2026-01-21
Beta Store,B002,200,15,Wednesday,2026-01-21
Beta Store,B002,164,16,Wednesday,2026-01-21
Beta Store,B002,102,17,Wednesday,2026-01-21
Beta Store,B002,147,18,Wednesday,2026-01-21
Beta Store,B002,128,19,Wednesday,2026-01-21
Beta Store,B002,177,20,Wednesday,2026-01-21
Beta Store,B002,118,21,Wednesday,2026-01-21
Beta Store,B002,166,9,Thursday,2026-01-22
Beta Store,B002,132,10,Thursday,2026-01-22
Beta Store,B002,172,11,Thursday,2026-01-22
Beta Store,B002,113,12,Thursday,2026-01-22
Beta Store,B002,193,13,Thursday,2026-01-22
Beta Store,B002,185,14,Thursday,2026-01-22
Beta Store,B002,165,15,Thursday,2026-01-22
Beta Store,B002,166,16,Thursday,2026-01-22
Beta Store,B002,131,17,Thursday,2026-01-22
Beta Store,B002,151,18,Thursday,2026-01-22
Beta Store,B002,148,19,Thursday,2026-01-22
Beta Store,B002,214,20,Thursday,2026-01-22
Beta Store,B002,162,21,Thursday,2026-01-22
Beta Store,B002,140,9,Friday,2026-01-23
Beta Store,B002,137,10,Friday,2026-01-23
Beta Store,B002,135,11,Friday,2026-01-23
Beta Store,B002,112,12,Friday,2026-01-23
Beta Store,B002,112,13,Friday,2026-01-23
Beta Store,B002,136,14,Friday,2026-01-23
Beta Store,B002,168,15,Friday,2026-01-23
Beta Store,B002,94,16,Friday,2026-01-23
Beta Store,B002,206,17,Friday,2026-01-23
Beta Store,B002,201,18,Friday,2026-01-23
Beta Store,B002,222,19,Friday,2026-01-23
Beta Store,B002,233,20,Friday,2026-01-23
Beta Store,B002,118,21,Friday,2026-01-23
Beta Store,B002,205,9,Saturday,2026-01-24
Beta Store,B002,112,10,Saturday,2026-01-24
Beta Store,B002,257,11,Saturday,2026-01-24
Beta Store,B002,234,12,Saturday,2026-01-24
Beta Store,B002,215,13,Saturday,2026-01-24
Beta Store,B002,153,14,Saturday,2026-01-24
Beta Store,B002,219,15,Saturday,2026-01-24
Beta Store,B002,242,16,Saturday,2026-01-24
Beta Store,B002,209,17,Saturday,2026-01-24
Beta Store,B002,279,18,Saturday,2026-01-24
Beta Store,B002,260,19,Saturday,2026-01-24
Beta Store,B002,216,20,Saturday,2026-01-24
Beta Store,B002,216,21,Saturday,2026-01-24
Beta Store,B002,180,9,Sunday,2026-01-25
Beta Store,B002,125,10,Sunday,2026-01-25
Beta Store,B002,149,11,Sunday,2026-01-25
Beta Store,B002,200,12,Sunday,2026-01-25
Beta Store,B002,190,13,Sunday,2026-01-25
Beta Store,B002,147,14,Sunday,2026-01-25
Beta Store,B002,173,15,Sunday,2026-01-25
Beta Store,B002,254,16,Sunday,2026-01-25
Beta Store,B002,185,17,Sunday,2026-01-25
Beta Store,B002,223,18,Sunday,2026-01-25
Beta Store,B002,243,19,Sunday,2026-01-25
Beta Store,B002,245,20,Sunday,2026-01-25
Beta Store,B002,193,21,Sunday,2026-01-25
Gamma Shop,C003,89,9,Monday,2026-01-19
Gamma Shop,C003,169,10,Monday,2026-01-19
Gamma Shop,C003,168,11,Monday,2026-01-19
Gamma Shop,C003,84,12,Monday,2026-01-19
Gamma Shop,C003,165,13,Monday,2026-01-19
Gamma Shop,C003,118,14,Monday,2026-01-19
Gamma Shop,C003,108,15,Monday,2026-01-19
Gamma Shop,C003,160,16,Monday,2026-01-19
Gamma Shop,C003,210,17,Monday,2026-01-19
Gamma Shop,C003,203,18,Monday,2026-01-19
Gamma Shop,C003,155,19,Monday,2026-01-19
Gamma Shop,C003,192,20,Monday,2026-01-19
Gamma Shop,C003,163,21,Monday,2026-01-19
Gamma Shop,C003,126,9,Tuesday,2026-01-20
Gamma Shop,C003,163,10,Tuesday,2026-01-20
Gamma Shop,C003,120,11,Tuesday,2026-01-20
