StoreName,StoreCode,Amount,Hour,Day,Date
Alpha Mart,A001,132,9,Monday,2026-02-02
Alpha Mart,A001,136,10,Monday,2026-02-02
Alpha Mart,A001,149,11,Monday,2026-02-02
Alpha Mart,A001,105,12,Monday,2026-02-02
Alpha Mart,A001,76,13,Monday,2026-02-02
Alpha Mart,A001,85,14,Monday,2026-02-02
Alpha Mart,A001,106,15,Monday,2026-02-02
Alpha Mart,A001,132,16,Monday,2026-02-02
Alpha Mart,A001,191,17,Monday,2026-02-02
Alpha Mart,A001,213,18,Monday,2026-02-02
Alpha Mart,A001,81,19,Monday,2026-02-02
Alpha Mart,A001,176,20,Monday,2026-02-02
Alpha Mart,A001,173,21,Monday,2026-02-02
Alpha Mart,A001,140,9,Tuesday,2026-02-03
Alpha Mart,A001,92,10,Tuesday,2026-02-03
Alpha Mart,A001,145,11,Tuesday,2026-02-03
Alpha Mart,A001,120,12,Tuesday,2026-02-03
Alpha Mart,A001,165,13,Tuesday,2026-02-03
Alpha Mart,A001,216,14,Tuesday,2026-02-03
Alpha Mart,A001,144,15,Tuesday,2026-02-03
Alpha Mart,A001,126,16,Tuesday,2026-02-03
Alpha Mart,A001,130,17,Tuesday,2026-02-03
Alpha Mart,A001,146,18,Tuesday,2026-02-03
Alpha Mart,A001,208,19,Tuesday,2026-02-03
Alpha Mart,A001,172,20,Tuesday,2026-02-03
Alpha Mart,A001,100,21,Tuesday,2026-02-03
Alpha Mart,A001,91,9,Wednesday,2026-02-04
Alpha Mart,A001,137,10,Wednesday,2026-02-04
Alpha Mart,A001,81,11,Wednesday,2026-02-04
Alpha Mart,A001,183,12,Wednesday,2026-02-04
Alpha Mart,A001,140,13,Wednesday,2026-02-04
Alpha Mart,A001,142,14,Wednesday,2026-02-04
Alpha Mart,A001,92,15,Wednesday,2026-02-04
Alpha Mart,A001,94,16,Wednesday,2026-02-04
Alpha Mart,A001,176,17,Wednesday,2026-02-04
Alpha Mart,A001,91,18,Wednesday,2026-02-04
Alpha Mart,A001,141,19,Wednesday,2026-02-04
Alpha Mart,A001,151,20,Wednesday,2026-02-04
Alpha Mart,A001,190,21,Wednesday,2026-02-04
Alpha Mart,A001,108,9,Thursday,2026-02-05
Alpha Mart,A001,108,10,Thursday,2026-02-05
Alpha Mart,A001,157,11,Thursday,2026-02-05
Alpha Mart,A001,199,12,Thursday,2026-02-05
Alpha Mart,A001,76,13,Thursday,2026-02-05
Alpha Mart,A001,137,14,Thursday,2026-02-05
Alpha Mart,A001,92,15,Thursday,2026-02-05
Alpha Mart,A001,97,16,Thursday,2026-02-05
Alpha Mart,A001,183,17,Thursday,2026-02-05
Alpha Mart,A001,242,18,Thursday,2026-02-05
Alpha Mart,A001,192,19,Thursday,2026-02-05
Alpha Mart,A001,198,20,Thursday,2026-02-05
Alpha Mart,A001,151,21,Thursday,2026-02-05
Alpha Mart,A001,91,9,Friday,2026-02-06
Alpha Mart,A001,196,10,Friday,2026-02-06
Alpha Mart,A001,121,11,Friday,2026-02-06
Alpha Mart,A001,114,12,Friday,2026-02-06
Alpha Mart,A001,84,13,Friday,2026-02-06
Alpha Mart,A001,156,14,Friday,2026-02-06
Alpha Mart,A001,104,15,Friday,2026-02-06
Alpha Mart,A001,139,16,Friday,2026-02-06
Alpha Mart,A001,151,17,Friday,2026-02-06
Alpha Mart,A001,142,18,Friday,2026-02-06
Alpha Mart,A001,196,19,Friday,2026-02-06
Alpha Mart,A001,146,20,Friday,2026-02-06
Alpha Mart,A001,78,21,Friday,2026-02-06
Alpha Mart,A001,143,9,Saturday,2026-02-07
Alpha Mart,A001,224,10,Saturday,2026-02-07
Alpha Mart,A001,193,11,Saturday,2026-02-07
Alpha Mart,A001,212,12,Saturday,2026-02-07
Alpha Mart,A001,252,13,Saturday,2026-02-07
Alpha Mart,A001,241,14,Saturday,2026-02-07
Alpha Mart,A001,229,15,Saturday,2026-02-07
Alpha Mart,A001,211,16,Saturday,2026-02-07
Alpha Mart,A001,244,17,Saturday,2026-02-07
Alpha Mart,A001,293,18,Saturday,2026-02-07
Alpha Mart,A001,196,19,Saturday,2026-02-07
Alpha Mart,A001,180,20,Saturday,2026-02-07
Alpha Mart,A001,167,21,Saturday,2026-02-07
Alpha Mart,A001,205,9,Sunday,2026-02-08
Alpha Mart,A001,138,10,Sunday,2026-02-08
Alpha Mart,A001,190,11,Sunday,2026-02-08
Alpha Mart,A001,200,12,Sunday,2026-02-08
Alpha Mart,A001,200,13,Sunday,2026-02-08
Alpha Mart,A001,198,14,Sunday,2026-02-08
Alpha Mart,A001,134,15,Sunday,2026-02-08
Alpha Mart,A001,127,16,Sunday,2026-02-08
Alpha Mart,A001,248,17,Sunday,2026-02-08
Alpha Mart,A001,160,18,Sunday,2026-02-08
Alpha Mart,A001,260,19,Sunday,2026-02-08
Alpha Mart,A001,143,20,Sunday,2026-02-08
Alpha Mart,A001,160,21,Sunday,2026-02-08
Beta Store,B002,131,9,Monday,2026-02-02
Beta Store,B002,119,10,Monday,2026-02-02
Beta Store,B002,140,11,Monday,2026-02-02
Beta Store,B002,106,12,Monday,2026-02-02
Beta Store,B002,190,13,Monday,2026-02-02
Beta Store,B002,123,14,Monday,2026-02-02
Beta Store,B002,161,15,Monday,2026-02-02
Beta Store,B002,132,16,Monday,2026-02-02
Beta Store,B002,143,17,Monday,2026-02-02
Beta Store,B002,203,18,Monday,2026-02-02
Beta Store,B002,109,19,Monday,2026-02-02
