StoreName,StoreCode,Amount,Hour,Day,Date
Alpha Mart,A001,153,9,Monday,2026-01-26
Alpha Mart,A001,161,10,Monday,2026-01-26
Alpha Mart,A001,176,11,Monday,2026-01-26
Alpha Mart,A001,145,12,Monday,2026-01-26
Alpha Mart,A001,95,13,Monday,2026-01-26
Alpha Mart,A001,176,14,Monday,2026-01-26
Alpha Mart,A001,181,15,Monday,2026-01-26
Alpha Mart,A001,104,16,Monday,2026-01-26
Alpha Mart,A001,128,17,Monday,2026-01-26
Alpha Mart,A001,159,18,Monday,2026-01-26
Alpha Mart,A001,213,19,Monday,2026-01-26
Alpha Mart,A001,148,20,Monday,2026-01-26
Alpha Mart,A001,163,21,Monday,2026-01-26
Alpha Mart,A001,165,9,Tuesday,2026-01-27
Alpha Mart,A001,63,10,Tuesday,2026-01-27
Alpha Mart,A001,128,11,Tuesday,2026-01-27
Alpha Mart,A001,178,12,Tuesday,2026-01-27
Alpha Mart,A001,124,13,Tuesday,2026-01-27
Alpha Mart,A001,87,14,Tuesday,2026-01-27
Alpha Mart,A001,130,15,Tuesday,2026-01-27
Alpha Mart,A001,94,16,Tuesday,2026-01-27
Alpha Mart,A001,107,17,Tuesday,2026-01-27
Alpha Mart,A001,250,18,Tuesday,2026-01-27
Alpha Mart,A001,242,19,Tuesday,2026-01-27
Alpha Mart,A001,127,20,Tuesday,2026-01-27
Alpha Mart,A001,187,21,Tuesday,2026-01-27
Alpha Mart,A001,113,9,Wednesday,2026-01-28
Alpha Mart,A001,180,10,Wednesday,2026-01-28
Alpha Mart,A001,90,11,Wednesday,2026-01-28
Alpha Mart,A001,182,12,Wednesday,2026-01-28
Alpha Mart,A001,126,13,Wednesday,2026-01-28
Alpha Mart,A001,130,14,Wednesday,2026-01-28
Alpha Mart,A001,177,15,Wednesday,2026-01-28
Alpha Mart,A001,123,16,Wednesday,2026-01-28
Alpha Mart,A001,135,17,Wednesday,2026-01-28
Alpha Mart,A001,160,18,Wednesday,2026-01-28
Alpha Mart,A001,168,19,Wednesday,2026-01-28
Alpha Mart,A001,155,20,Wednesday,2026-01-28
Alpha Mart,A001,184,21,Wednesday,2026-01-28
Alpha Mart,A001,144,9,Thursday,2026-01-29
Alpha Mart,A001,203,10,Thursday,2026-01-29
Alpha Mart,A001,111,11,Thursday,2026-01-29
Alpha Mart,A001,172,12,Thursday,2026-01-29
Alpha Mart,A001,81,13,Thursday,2026-01-29
Alpha Mart,A001,137,14,Thursday,2026-01-29
Alpha Mart,A001,93,15,Thursday,2026-01-29
Alpha Mart,A001,177,16,Thursday,2026-01-29
Alpha Mart,A001,155,17,Thursday,2026-01-29
Alpha Mart,A001,229,18,Thursday,2026-01-29
Alpha Mart,A001,200,19,Thursday,2026-01-29
Alpha Mart,A001,219,20,Thursday,2026-01-29
Alpha Mart,A001,127,21,Thursday,2026-01-29
Alpha Mart,A001,97,9,Friday,2026-01-30
Alpha Mart,A001,116,10,Friday,2026-01-30
Alpha Mart,A001,123,11,Friday,2026-01-30
Alpha Mart,A001,97,12,Friday,2026-01-30
Alpha Mart,A001,187,13,Friday,2026-01-30
Alpha Mart,A001,134,14,Friday,2026-01-30
Alpha Mart,A001,75,15,Friday,2026-01-30
Alpha Mart,A001,80,16,Friday,2026-01-30
Alpha Mart,A001,162,17,Friday,2026-01-30
Alpha Mart,A001,200,18,Friday,2026-01-30
Alpha Mart,A001,122,19,Friday,2026-01-30
Alpha Mart,A001,225,20,Friday,2026-01-30
Alpha Mart,A001,87,21,Friday,2026-01-30
Alpha Mart,A001,170,9,Saturday,2026-01-31
Alpha Mart,A001,163,10,Saturday,2026-01-31
Alpha Mart,A001,197,11,Saturday,2026-01-31
Alpha Mart,A001,215,12,Saturday,2026-01-31
Alpha Mart,A001,177,13,Saturday,2026-01-31
Alpha Mart,A001,187,14,Saturday,2026-01-31
Alpha Mart,A001,133,15,Saturday,2026-01-31
Alpha Mart,A001,219,16,Saturday,2026-01-31
Alpha Mart,A001,242,17,Saturday,2026-01-31
Alpha Mart,A001,181,18,Saturday,2026-01-31
Alpha Mart,A001,301,19,Saturday,2026-01-31
Alpha Mart,A001,264,20,Saturday,2026-01-31
Alpha Mart,A001,155,21,Saturday,2026-01-31
Alpha Mart,A001,245,9,Sunday,2026-02-01
Alpha Mart,A001,219,10,Sunday,2026-02-01
Alpha Mart,A001,284,11,Sunday,2026-02-01
Alpha Mart,A001,205,12,Sunday,2026-02-01
Alpha Mart,A001,177,13,Sunday,2026-02-01
Alpha Mart,A001,190,14,Sunday,2026-02-01
Alpha Mart,A001,179,15,Sunday,2026-02-01
Alpha Mart,A001,226,16,Sunday,2026-02-01
Alpha Mart,A001,237,17,Sunday,2026-02-01
Alpha Mart,A001,199,18,Sunday,2026-02-01
Alpha Mart,A001,287,19,Sunday,2026-02-01
Alpha Mart,A001,160,20,Sunday,2026-02-01
Alpha Mart,A001,200,21,Sunday,2026-02-01
Beta Store,B002,84,9,Monday,2026-01-26
Beta Store,B002,210,10,Monday,2026-01-26
Beta Store,B002,109,11,Monday,2026-01-26
Beta Store,B002,74,12,Monday,2026-01-26
Beta Store,B002,188,13,Monday,2026-01-26
Beta Store,B002,133,14,Monday,2026-01-26
Beta Store,B002,166,15,Monday,2026-01-26
Beta Store,B002,147,16,Monday,2026-01-26
Beta Store,B002,131,17,Monday,2026-01-26
Beta Store,B002,131,18,Monday,2026-01-26
Beta Store,B002,207,19,Monday,2026-01-26
Beta Store,B002,105,20,Monday,2026-01-26
Beta Store,B002,130,21,Monday,2026-01-26
Beta Store,B002,185,9,Tuesday,2026-01-27
Beta Store,B002,134,10,Tuesday,2026-01-27
Beta Store,B002,110,11,Tuesday,2026-01-27
Beta Store,B002,109,12,Tuesday,2026-01-27
Beta Store,B002,155,13,Tuesday,2026-01-27
Beta Store,B002,163,14,Tuesday,2026-01-27
Beta Store,B002,78,15,Tuesday,2026-01-27
Beta Store,B002,101,16,Tuesday,2026-01-27
Beta Store,B002,181,17,Tuesday,2026-01-27
Beta Store,B002,219,18,Tuesday,2026-01-27
